City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
bredasdorp,100,ZA,1579665515,88,-34.53,20.04,66.2,10.29
dikson,100,RU,1579665265,86,73.51,80.55,-12.28,11.36
san juan bautista,96,ML,1579665516,23,13.3,-4.9,73.85,5.53
anadyr,20,RU,1579665516,74,64.75,177.48,-25.01,6.71
narsaq,100,GL,1579665259,79,60.92,-46.05,24.8,5.82
castro,100,BR,1579665516,93,-24.79,-50.01,62.6,6.15
larap,82,PH,1579665516,73,14.3,122.65,77.7,22.48
stornoway,99,GB,1579665517,93,58.21,-6.39,50.0,6.93
mehamn,100,NO,1579665517,85,71.04,27.85,21.47,29.15
vangaindrano,100,MG,1579665517,84,-23.35,47.6,69.04,4.25
coquimbo,90,CL,1579665517,88,-29.95,-71.34,62.6,6.93
grand river south east,90,US,1579665518,100,38.88,-109.5,30.99,4.68
tieli,86,CN,1579665518,89,46.95,128.05,1.36,3.74
kudahuvadhoo,88,MV,1579665518,78,2.67,72.89,83.82,18.39
awjilah,0,LY,1579665375,72,29.11,21.29,49.3,6.69
ust-omchug,12,RU,1579665519,94,61.15,149.63,-28.62,3.83
rosetta,17,EG,1579665519,58,31.4,30.42,56.61,14.12
sundsvall,0,SE,1579665519,51,62.39,17.31,37.4,18.34
northam,0,GB,1579665520,90,51.03,-4.22,41.0,1.01
lebu,0,CL,1579665520,84,-37.62,-73.65,57.81,5.01
longyearbyen,40,SJ,1579665520,65,78.22,15.64,3.2,10.29
urumqi,89,CN,1579665520,78,43.8,87.6,14.0,4.47
bonavista,0,CA,1579665521,71,48.65,-53.11,12.0,8.01
male,20,MV,1579665521,83,4.17,73.51,84.2,17.22
praya,95,CV,1579665375,88,14.92,-23.51,68.0,9.17
yasnyy,97,RU,1579665521,93,51.03,59.87,18.21,18.16
krasnoarmeysk,100,RU,1579665521,86,51.02,45.7,36.0,11.01
butaritari,25,KI,1579665522,62,3.07,172.79,84.88,4.29
sens,0,FR,1579665522,100,48.17,3.33,27.0,4.18
chiradzulu,100,MW,1579665522,98,-15.67,35.14,63.25,3.94
mbuji-mayi,100,CD,1579665522,93,-6.15,23.6,70.99,3.06
ilulissat,94,GL,1579665523,72,69.22,-51.1,17.6,9.17
taoudenni,75,ML,1579665523,29,22.68,-3.98,61.45,7.87
carballo,90,ES,1579665316,71,43.21,-8.69,53.01,12.75
havoysund,100,NO,1579665523,79,71.0,24.66,24.8,41.38
grenville,20,GD,1579665524,83,12.12,-61.62,78.8,13.87
westport,1,US,1579665364,41,41.14,-73.36,30.0,5.23
port elizabeth,98,CD,1579665525,65,-7.03,29.76,78.44,10.83
churapcha,66,RU,1579665525,97,62.0,132.43,-24.29,3.24
bluff,71,NZ,1579665257,49,-46.6,168.33,74.62,6.93
ouadda,81,CF,1579665526,21,8.08,22.4,61.54,7.14
leningradskiy,100,RU,1579665526,96,69.38,178.42,-11.27,7.09
talagang,0,PK,1579665526,90,32.93,72.42,42.73,2.1
bethel,5,US,1579665527,85,41.37,-73.41,28.0,3.13
yabelo,71,ET,1579665527,40,4.88,38.08,65.12,3.94
zhezkazgan,90,KZ,1579665527,92,47.8,67.71,17.6,20.13
biak,54,ID,1579665528,64,-0.91,122.88,82.78,7.65
alyangula,92,AU,1579665528,62,-13.85,136.42,89.6,17.22
haines junction,90,US,1579665528,86,59.23,-135.44,32.0,3.36
dunedin,100,NZ,1579665319,70,-45.87,170.5,70.0,18.52
goya,0,AR,1579665529,89,-29.14,-59.26,73.6,4.76
skelleftea,65,SE,1579665315,72,64.75,20.95,32.0,16.11
alekseyevsk,97,RU,1579665529,89,57.84,108.35,-8.64,9.78
kavieng,13,PG,1579665380,77,-2.57,150.8,83.37,16.67
imbituba,75,BR,1579665484,83,-28.24,-48.67,73.4,11.95
yankton,75,US,1579665530,79,42.87,-97.4,28.4,10.29
kovur,33,IN,1579665530,68,14.48,79.98,78.44,9.95
minab,75,IR,1579665531,87,27.15,57.08,53.6,2.24
vertientes,40,CU,1579665531,94,21.26,-78.15,68.0,9.17
kang,34,BW,1579665531,55,-23.68,22.79,73.51,6.98
cidreira,100,BR,1579665264,77,-30.18,-50.21,74.88,24.52
lubana,98,LV,1579665531,71,56.9,26.72,36.41,9.84
deputatskiy,27,RU,1579665532,91,69.3,139.9,-27.17,4.92
port macquarie,98,CD,1579665532,65,-7.03,29.76,78.44,10.83
emporia,90,US,1579665532,69,38.4,-96.18,35.6,16.11
auki,21,SB,1579665532,74,-8.77,160.7,84.69,10.85
vista hermosa,75,US,1579665523,93,33.2,-117.24,57.99,3.65
amazar,10,RU,1579665533,91,53.86,120.88,-10.89,2.35
pisco,100,PE,1579665533,94,-13.7,-76.22,71.01,2.24
qaanaaq,0,GL,1579665495,48,77.48,-69.36,-14.67,5.75
chipinge,80,ZW,1579665533,94,-20.19,32.62,57.24,4.12
enid,90,US,1579665531,74,36.4,-97.88,39.99,12.75
ancud,0,CL,1579665308,63,-41.87,-73.82,60.8,17.22
algarrobo,63,CO,1579665534,86,10.19,-74.58,75.51,4.54
akdepe,90,TM,1579665535,74,42.06,59.38,30.2,11.41
carnarvon,0,AU,1579665307,50,-24.87,113.63,78.8,24.16
uruguaiana,90,BR,1579665535,94,-29.75,-57.09,73.4,11.41
lasa,100,IT,1579665536,67,46.62,10.7,32.0,2.86
ola,0,RU,1579665536,69,59.58,151.28,-11.72,4.65
torbay,20,CA,1579665536,66,47.67,-52.73,12.2,5.82
nikolskoye,81,RU,1579665536,74,59.7,30.79,35.01,15.66
viedma,0,AR,1579665296,58,-40.81,-63.0,67.71,12.28
bathsheba,75,BB,1579665365,88,13.22,-59.52,75.2,13.87
mareeba,40,AU,1579665339,70,-17.0,145.43,87.8,11.41
khatanga,100,RU,1579665537,98,71.97,102.5,-24.86,5.75
guerrero negro,0,MX,1579665538,71,17.67,-100.0,54.01,1.34
vila velha,0,PT,1579665538,80,42.03,-8.16,50.0,5.73
palmer,1,US,1579665269,71,42.16,-72.33,18.0,0.78
bosaso,76,SO,1579665538,64,11.28,49.18,76.37,11.7
cordoba,15,AR,1579665375,94,-31.41,-64.18,73.0,5.82
komsomolskiy,90,UZ,1579665539,74,40.43,71.72,32.0,2.24
sable-sur-sarthe,0,FR,1579665539,92,47.84,-0.33,32.0,6.93
hithadhoo,87,MV,1579665321,79,-0.6,73.08,83.64,13.35
nueva loja,90,EC,1579665540,88,-1.72,-79.83,77.0,3.36
mucurapo,67,TT,1579665540,83,10.67,-61.53,75.99,5.82
ponta do sol,56,PT,1579665540,73,38.73,-28.27,54.82,13.53
sao joao da barra,59,IN,1579665495,55,20.51,76.21,71.94,16.69
coahuayana,40,MX,1579665541,88,18.73,-103.68,69.8,3.06
acapulco,20,MX,1579665483,83,16.86,-99.89,80.6,2.24
toora-khem,100,RU,1579665541,89,52.47,96.11,-2.24,2.24
tanout,0,NE,1579665542,22,14.97,8.89,61.34,13.65
ostrovnoy,100,RU,1579665358,92,68.05,39.51,26.56,29.01
ipixuna,75,BR,1579665542,88,-1.76,-48.8,77.0,4.7
teya,100,RU,1579665542,95,60.38,92.63,-20.61,5.44
port lincoln,98,CD,1579665532,65,-7.03,29.76,78.44,10.83
flinders,40,AU,1579665543,55,-34.58,150.86,95.0,18.34
ivaipora,78,BR,1579665543,76,-24.25,-51.68,69.28,2.66
vilyuysk,100,RU,1579665543,96,63.76,121.62,-15.66,8.19
saskylakh,15,RU,1579665265,95,71.92,114.08,-33.39,6.6
avera,1,US,1579665544,73,33.19,-82.53,33.8,6.69
georgetown,20,MY,1579665347,55,5.41,100.34,87.8,4.7
klaksvik,100,FO,1579665278,93,62.23,-6.59,42.8,5.82
iqaluit,5,CA,1579665545,61,63.75,-68.51,-23.01,9.17
yaring,40,TH,1579665404,83,6.87,101.37,80.6,9.17
jiaozhou,40,CN,1579665545,57,36.28,120.0,50.0,4.47
zhigansk,100,RU,1579665545,97,66.77,123.37,-27.42,7.52
ati,0,TD,1579665546,19,13.22,18.34,61.45,10.67
faanui,95,PF,1579665314,77,-16.48,-151.75,82.38,8.72
berlevag,100,NO,1579665546,80,70.86,29.09,26.08,33.82
gamba,80,GA,1579665547,90,-2.65,10.0,77.47,4.09
norman wells,100,US,1579665378,76,35.22,-97.44,39.2,20.8
hofn,100,IS,1579665264,93,64.25,-15.21,45.03,13.0
erzin,0,TR,1579665548,41,36.96,36.2,42.01,10.33
vao,0,NC,1579665548,73,-22.67,167.48,77.68,15.46
alice town,90,US,1579665481,63,27.75,-98.07,62.6,10.29
egvekinot,99,RU,1579665548,96,66.32,-179.17,-13.9,4.61
acarau,100,BR,1579665402,94,-2.89,-40.12,75.36,1.59
snezhnogorsk,75,RU,1579665549,85,69.19,33.25,24.8,11.18
shaunavon,66,CA,1579665549,82,49.65,-108.42,21.9,3.42
chumikan,90,RU,1579665549,75,54.72,135.31,0.25,8.88
talnakh,100,RU,1579665550,75,69.49,88.4,-20.2,6.71
marsh harbour,90,GB,1579665550,100,53.65,-1.81,46.99,2.24
manta,75,EC,1579665550,83,-0.95,-80.73,78.8,4.7
paita,31,PE,1579665324,74,-5.09,-81.11,73.09,6.2
glendive,1,US,1579665551,100,47.11,-104.71,33.8,4.7
adre,0,TD,1579665551,23,13.47,22.2,54.86,19.91
loukhi,33,RU,1579665552,92,66.08,33.04,20.88,10.6
luwuk,54,ID,1579665464,64,-0.95,122.79,82.78,7.65
jiaohe,100,CN,1579665552,89,43.73,127.34,23.0,6.46
agutaya,66,PH,1579665552,76,11.15,120.94,79.3,27.02
qaqortoq,100,GL,1579665553,79,60.72,-46.03,24.8,5.82
mount gambier,90,GB,1579665553,100,53.66,-1.85,46.99,2.24
bowen,40,AU,1579665553,46,-20.02,148.23,93.99,4.7
orvieto,100,IT,1579665553,84,42.72,12.11,43.0,1.12
zalesovo,100,RU,1579665554,95,53.99,84.74,10.56,7.96
jumla,8,NP,1579665305,54,29.27,82.18,36.0,5.01
constitucion,0,CL,1579665554,75,-35.33,-72.42,55.81,1.5
mount isa,90,GB,1579665554,100,53.66,-1.85,46.99,2.24
parabel,0,RU,1579665555,95,58.7,81.48,-3.19,7.11
manokwari,98,ID,1579665266,90,-0.87,134.08,76.98,10.92
praia da vitoria,95,CV,1579665364,88,14.92,-23.51,68.0,9.17
grindavik,90,IS,1579665555,100,63.84,-22.43,44.6,26.4
iquitos,99,PE,1579665555,94,-3.75,-73.25,77.0,2.06
pokaran,0,IN,1579665556,50,26.92,71.92,56.64,12.15
saint-joseph,100,RE,1579665556,100,-21.37,55.62,78.8,17.22
souillac,75,MU,1579665257,94,-20.52,57.52,78.01,2.24
raudeberg,100,NO,1579665557,75,61.99,5.14,41.0,24.16
kavaratti,40,IN,1579665370,78,10.57,72.64,82.4,4.7
ballina,37,AU,1579665557,70,-28.87,153.57,95.0,12.75
kamenka,100,RU,1579665557,95,51.32,42.77,35.01,7.0
zapolyarnyy,40,RU,1579665558,79,69.42,30.81,24.8,31.09
hambantota,89,LK,1579665558,76,6.12,81.12,81.75,22.15
payson,1,US,1579665558,100,40.04,-111.73,37.99,3.29
namibe,54,AO,1579665390,79,-15.2,12.15,75.34,12.97
lhokseumawe,81,ID,1579665559,86,5.18,97.15,75.16,2.82
cherskiy,100,RU,1579665559,98,68.75,161.3,-20.52,7.07
ahipara,99,NZ,1579665560,65,-35.17,173.17,78.01,1.99
sinop,100,TR,1579665560,70,41.77,34.87,41.7,16.8
begoro,66,GH,1579665560,70,6.39,-0.38,72.63,3.51
banyo,100,CM,1579665561,34,6.75,11.82,62.64,4.47
dingle,50,PH,1579665561,75,11.0,122.67,79.59,13.94
ankazoabo,100,MG,1579665561,79,-22.28,44.52,68.41,3.44
hasaki,75,JP,1579665495,60,35.73,140.83,45.0,6.93
maningrida,98,AU,1579665562,75,-12.07,134.27,85.08,23.73
limbuhan,21,PH,1579665562,68,11.88,124.05,81.0,14.76
prince rupert,1,CA,1579665562,100,52.97,-108.38,17.01,4.7
college,40,US,1579665562,75,64.86,-147.8,-11.0,1.01
provideniya,90,RU,1579665563,78,64.38,-173.3,10.4,2.24
lavrentiya,100,RU,1579665300,96,65.58,-171.0,1.67,7.56
machinga,100,MW,1579665563,97,-15.17,35.3,62.96,0.89
terrace,90,CA,1579665563,92,54.52,-128.6,32.0,4.7
ekpoma,100,NG,1579665564,78,6.74,6.14,70.27,1.19
turukhansk,100,RU,1579665403,93,65.82,87.98,-20.56,11.21
tarauaca,55,BR,1579665564,85,-8.16,-70.77,75.76,2.95
victoria,20,HK,1579665528,73,22.29,114.16,78.01,3.36
honiara,75,SB,1579665317,59,-9.43,159.95,89.6,11.41
anito,0,PH,1579665565,75,12.45,125.29,79.05,20.98
tigre,75,AR,1579665565,78,-34.43,-58.58,75.2,11.41
orlik,100,RU,1579665566,86,52.52,99.83,-8.09,5.3
tura,0,IN,1579665410,56,25.52,90.22,64.27,3.11
port keats,98,CD,1579665566,65,-7.03,29.76,78.44,10.83
kenora,90,CA,1579665362,85,49.82,-94.43,23.0,16.11
kokopo,0,PG,1579665567,77,-4.35,152.26,83.5,14.54
faya,40,SA,1579665567,81,18.39,42.45,51.8,11.41
shimoda,40,JP,1579665567,66,34.67,138.95,53.6,13.87
rodino,100,RU,1579665567,94,52.5,80.25,17.38,11.83
abu samrah,21,IN,1579665375,41,24.6,72.7,58.05,7.38
mafinga,100,TZ,1579665568,92,-7.25,35.07,69.53,1.92
ucluelet,100,CA,1579665503,93,48.93,-125.55,44.01,1.59
murgab,40,TM,1579665569,86,37.5,61.97,28.4,4.7
igarka,100,RU,1579665569,94,67.47,86.58,-27.85,19.69
mabaruma,93,GY,1579665391,98,8.2,-59.78,69.87,2.21
belmonte,75,BR,1579665570,78,-15.86,-38.88,78.8,6.93
aleksandrov gay,98,RU,1579665570,82,56.4,38.71,29.71,13.53
sitka,90,US,1579665570,93,57.05,-135.33,35.6,3.36
warmbad,0,NA,1579665571,58,-28.45,18.73,58.75,4.45
aswan,0,EG,1579665571,63,24.09,32.91,44.02,9.91
moroni,90,KM,1579665571,79,-11.7,43.26,84.2,24.16
green river,1,US,1579665571,85,40.95,-81.48,19.99,4.38
broome,20,US,1579665572,73,42.25,-75.83,21.2,3.36
obama,62,JP,1579665572,53,35.5,135.75,48.99,7.18
nsanje,100,MW,1579665572,99,-16.92,35.26,66.45,2.21
prieska,0,ZA,1579665573,34,-29.66,22.75,68.95,7.05
east london,75,IS,1579665573,74,65.0,-15.0,33.8,5.82
rundu,87,NA,1579665573,73,-17.93,19.77,73.4,1.12
tuktoyaktuk,5,CA,1579665573,67,69.45,-133.04,-25.6,8.05
college place,40,US,1579665562,75,64.86,-147.8,-11.0,1.01
soyo,100,AO,1579665574,85,-6.13,12.37,79.99,5.46
montrose,90,US,1579665574,100,38.42,-108.27,35.01,5.97
lorengau,42,PG,1579665575,75,-2.02,147.27,83.79,15.32
spas-demensk,90,RU,1579665575,80,54.41,34.02,31.69,10.42
stavern,32,NO,1579665575,74,59.0,10.03,41.0,9.17
kailua,75,US,1579665575,69,21.4,-157.74,80.01,5.82
clyde river,1,US,1579665575,79,41.3,-82.98,24.01,8.05
nanortalik,100,GL,1579665576,88,60.14,-45.24,26.06,15.79
vestmannaeyjar,100,IS,1579665295,92,63.44,-20.27,45.01,23.71
morant bay,40,JM,1579665577,74,17.9,-76.43,80.6,9.17
filimonovo,12,RU,1579665577,94,56.2,95.46,-14.39,8.3
les trois-ilets,100,ES,1579665577,86,42.81,0.71,41.0,1.99
townsville,99,AU,1579665350,74,-19.25,146.8,86.0,9.17
necochea,100,AR,1579665369,98,-38.55,-58.74,66.0,4.0
pascagoula,1,US,1579665578,64,30.37,-88.56,37.4,4.7
fountain hills,1,US,1579665578,48,38.68,-104.7,41.0,9.17
isangel,75,VU,1579665283,74,-19.55,169.27,82.4,13.87
suez,4,EG,1579665578,71,29.97,32.53,47.08,8.28
rio grande,0,GR,1579665579,100,38.3,21.78,30.2,3.58
salalah,20,OM,1579665304,72,17.02,54.09,68.0,5.82
ufimskiy,100,RU,1579665579,92,56.71,58.05,23.5,15.17
biloela,40,AU,1579665580,44,-24.42,150.5,91.98,6.02
champerico,0,GT,1579665580,74,14.3,-91.92,75.4,5.95
nema,100,RU,1579665580,95,57.51,50.5,31.24,8.59
basoko,100,CD,1579665580,48,1.24,23.62,68.52,0.69
kysyl-syr,97,RU,1579665581,95,63.9,122.76,-19.86,6.71
vila franca do campo,0,PT,1579665393,80,42.03,-8.16,50.0,5.73
beringovskiy,1,RU,1579665333,99,63.05,179.32,-9.99,12.06
san borja,96,ML,1579665581,23,13.3,-4.9,73.85,5.53
guskhara,0,IN,1579665582,39,23.5,87.75,63.63,2.3
saint-georges,20,GD,1579665582,83,12.06,-61.75,78.8,13.87
atar,24,MR,1579665582,42,20.52,-13.05,58.42,7.56
frolishchi,94,RU,1579665582,81,56.42,42.65,29.86,13.24
yar-sale,100,RU,1579665583,93,66.83,70.83,4.28,18.41
hamilton,1,US,1579665583,92,39.18,-84.53,24.01,2.42
mountain home,29,CO,1579665583,75,13.37,-81.37,80.64,17.52
denia,4,ES,1579665583,90,38.84,0.11,50.0,4.68
tuatapere,66,NZ,1579665584,42,-46.13,167.68,76.77,5.88
jacareacanga,100,BR,1579665584,96,-6.22,-57.75,73.99,1.77
san patricio,96,ML,1579665581,23,13.3,-4.9,73.85,5.53
barranca,100,PE,1579665584,90,-10.75,-77.77,72.01,7.87
kaitangata,100,NZ,1579665585,70,-46.28,169.85,70.0,9.48
port hedland,98,CD,1579665566,65,-7.03,29.76,78.44,10.83
goderich,100,CA,1579665314,80,43.75,-81.72,30.99,4.0
olean,90,US,1579665586,85,42.08,-78.43,23.0,4.7
usinsk,100,RU,1579665586,95,65.99,57.53,19.02,14.32
fadd,15,HU,1579665586,90,46.46,18.82,29.1,6.67
takoradi,66,GH,1579665587,84,4.88,-1.76,76.8,1.77
ormara,19,PK,1579665587,59,25.21,64.64,71.8,13.58
trairi,100,BR,1579665587,90,-3.28,-39.27,74.88,0.34
kintampo,95,GH,1579665588,39,8.06,-1.73,79.63,3.76
haapiti,20,PF,1579665588,70,-17.57,-149.87,84.2,12.75
mao,37,ES,1579665588,93,39.89,4.27,57.2,10.29
gizo,34,SB,1579665588,80,-8.1,156.84,81.03,7.67
yenotayevka,99,RU,1579665589,84,47.25,47.03,34.34,27.11
sheridan,40,US,1579665589,74,44.83,-106.92,39.2,9.17
masunga,70,BW,1579665589,81,-20.62,27.45,59.56,6.17
geraldton,20,AU,1579665589,44,-28.77,114.6,77.0,26.4
byron bay,1,US,1579665590,85,44.03,-92.65,19.99,29.97
poyarkovo,97,RU,1579665590,91,49.6,128.68,-1.32,4.45
tripoli,53,LY,1579665590,74,32.88,13.19,57.7,26.49
sobolevo,100,RU,1579665591,74,54.43,31.9,32.94,11.83
paragominas,100,BR,1579665591,98,-2.97,-47.48,72.66,2.68
rancho palos verdes,98,BR,1579665591,72,-23.02,-52.96,75.4,6.85
preobrazheniye,83,RU,1579665591,55,42.9,133.91,32.58,3.51
maragogi,17,BR,1579665343,81,-9.01,-35.22,81.27,13.56
kaputa,100,ZM,1579665345,95,-8.47,29.66,66.56,4.36
caravelas,96,BR,1579665592,82,-17.71,-39.25,79.74,19.84
svetlogorsk,100,BY,1579665592,89,52.63,29.73,36.72,18.34
sampit,33,ID,1579665593,57,-2.53,112.95,89.49,4.32
juneau,90,US,1579665307,97,58.3,-134.42,33.8,5.82
alice springs,90,US,1579665593,63,27.75,-98.07,62.6,10.29
magadan,0,RU,1579665593,74,59.57,150.8,-9.06,7.96
saldanha,30,ZA,1579665593,82,-33.01,17.94,66.2,5.82
anjar,59,IN,1579665594,55,23.13,70.02,62.69,13.11
kasongo-lunda,100,CD,1579665594,96,-6.47,16.82,68.13,1.83
chapais,90,CA,1579665594,92,49.78,-74.85,15.8,9.17
hovd,57,MN,1579665594,53,48.01,91.64,5.92,4.09
almeirim,100,BR,1579665595,92,-1.52,-52.58,74.68,4.68
pirovskoye,35,RU,1579665595,97,57.63,92.27,-17.18,6.17
samarai,57,PG,1579665595,54,-10.62,150.67,90.12,3.62
silifke,0,TR,1579665596,47,36.38,33.93,33.3,14.32
mopipi,14,BW,1579665596,55,-21.18,24.88,73.27,12.15
muzhi,100,RU,1579665596,90,65.37,64.67,7.23,13.13
makakilo city,75,US,1579665597,69,21.35,-158.09,80.01,5.82
nyurba,100,RU,1579665597,98,63.28,118.33,-13.09,4.03
ewa beach,0,ID,1579665598,66,-8.62,122.51,84.4,6.04
corralillo,98,CU,1579665598,69,22.98,-80.59,63.48,20.8
ryazan,93,RU,1579665599,63,54.62,39.74,35.01,5.01
poso,0,ID,1579665599,61,-1.4,120.75,76.93,5.19
manicore,90,BR,1579665599,96,-5.81,-61.3,74.7,1.63
santa maria,0,PH,1579665599,48,17.49,120.43,81.1,3.11
narok,67,KE,1579665600,74,-1.08,35.86,54.88,3.65
kirakira,8,SB,1579665600,78,-10.45,161.92,83.62,2.93
kabompo,100,ZM,1579665600,98,-13.59,24.2,65.16,3.42
pergamino,0,AR,1579665601,91,-33.89,-60.57,73.0,1.01
bhinmal,33,IN,1579665601,52,25.0,72.25,56.14,3.49
llangefni,80,GB,1579665601,93,53.26,-4.31,48.0,2.24
doha,0,QA,1579665445,72,25.29,51.53,63.0,3.36
matara,77,LK,1579665602,74,5.95,80.54,80.65,2.89
bud,1,US,1579665602,100,39.45,-86.18,24.01,5.82
maceio,28,BR,1579665602,83,-9.67,-35.74,78.8,6.93
gornozavodsk,100,RU,1579665604,95,58.38,58.32,22.01,12.15
evensk,87,RU,1579665604,78,61.95,159.23,-15.03,6.46
salinopolis,88,BR,1579665605,78,-0.61,-47.36,81.54,17.83
mamallapuram,40,IN,1579665412,74,12.63,80.17,82.0,4.7
whitehorse,75,CA,1579665393,84,60.72,-135.05,8.6,6.93
podporozhye,100,RU,1579665606,81,60.91,34.17,30.81,8.86
krutikha,100,RU,1579665606,96,53.96,81.21,7.2,6.76
antalaha,100,MG,1579665606,82,-14.9,50.28,81.84,5.44
tilichiki,46,RU,1579665607,89,60.47,166.1,-16.38,8.32
lyantonde,100,UG,1579665607,57,-0.4,31.16,63.46,2.73
